,artist_name,track_name,track_id,popularity,url,images,date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6361,Dead Prez,You'll Find a Way,3yeECcSwRTQc6iCDgkw0W8,26,https://open.spotify.com/track/3yeECcSwRTQc6iCDgkw0W8,https://i.scdn.co/image/969a5d851970ad15d031bd58e4c8faa7843a65c3,2000-02-08,0.236,0.58,193493,0.602,0.873,9,0.109,-8.166,0,0.0525,177.591,4,0.533
6362,Shanghai Chinese Traditional Orchestra,Wood in the East,42rOslzgLpwSSdR04BcWb5,26,https://open.spotify.com/track/42rOslzgLpwSSdR04BcWb5,https://i.scdn.co/image/fb0ca5ecbf9c8239908b075b216a3cf77881f511,2000-01-01,0.615,0.27,457627,0.0541,0.0418,5,0.107,-22.7,1,0.0363,102.141,4,0.36
6363,The Exploited,I Believe In Anarchy,49N77D2YRSjS21fotIyCDU,28,https://open.spotify.com/track/49N77D2YRSjS21fotIyCDU,https://i.scdn.co/image/499fb11f23fdcae95d974d251f6a9567a95a9c52,2000,0.00318,0.521,112053,0.648,0.0,11,0.149,-12.82,1,0.0838,119.492,4,0.688
6364,Jaime Y Los Chamacos,Tres Veces Te Engane,4EebDGiaBqusxpb2U4xfI9,21,https://open.spotify.com/track/4EebDGiaBqusxpb2U4xfI9,https://i.scdn.co/image/8e6c60af6ae97d4ecf6514827fc55186893ed139,2000-04-25,0.0152,0.738,184893,0.872,0.000294,8,0.0504,-5.262,1,0.0347,101.175,4,0.951
6365,Bad Religion,Don't Sell Me Short,4Krd3xVLV97laGhNLWPb2y,26,https://open.spotify.com/track/4Krd3xVLV97laGhNLWPb2y,https://i.scdn.co/image/580ddee4b8a126e64f1b7e593ecc02f162551677,2000-05-09,0.000153,0.285,239600,0.984,0.0,10,0.349,-5.597,1,0.107,151.147,4,0.387
6366,Ghostface Killah,Who Would You Fuck,4QyJ6ZDXG5Y7jf8LkgzPh9,23,https://open.spotify.com/track/4QyJ6ZDXG5Y7jf8LkgzPh9,https://i.scdn.co/image/ca55f29d1b4387a0c34e7ba4c70869434cf8a3b4,2000,0.595,0.457,164427,0.471,0.0,9,0.606,-9.982,1,0.4,76.742,4,0.588
6367,Secret Service,Ten O'Clock Postman,4REoWIYjRioeRbPw36x82r,22,https://open.spotify.com/track/4REoWIYjRioeRbPw36x82r,https://i.scdn.co/image/ea804c41a6b69303f3f16fe5fabeb33a66d64166,2000,0.0121,0.589,223387,0.968,0.0,5,0.171,-5.884,1,0.0529,134.332,4,0.707
6368,Marco Barrientos,En Una Sola Voz,4UfEvfnNteY0vFY2OwFCer,30,https://open.spotify.com/track/4UfEvfnNteY0vFY2OwFCer,https://i.scdn.co/image/4dc9a6c552ba3856a188ace866e0a1fa29d4a22c,2000,0.0295,0.332,287204,0.814,0.0,9,0.765,-5.213,1,0.0485,147.744,4,0.223
6369,Blue October,Conversation Via Radio (Do You Ever Wonder),4i8s1d9pGlw4G9iEgSTC0H,21,https://open.spotify.com/track/4i8s1d9pGlw4G9iEgSTC0H,https://i.scdn.co/image/ad34466b0660184c776bd3a613f02d03436c0789,2000-01-01,0.414,0.507,243293,0.681,0.0,7,0.105,-6.153,1,0.0283,97.944,4,0.491
6370,Head Like A Hole,Im on Fire,4ic9ViOuj6obHWXrAxLjun,36,https://open.spotify.com/track/4ic9ViOuj6obHWXrAxLjun,https://i.scdn.co/image/0c6597167db41dc86ad70a09d09a34df60cf6c51,2000-10-26,0.00171,0.369,242240,0.781,0.61,3,0.112,-5.593,1,0.0392,86.407,4,0.393
6371,Santo & Johnny,Indian Reservation,4ihNmWaaP47WcDXRVKAFlS,24,https://open.spotify.com/track/4ihNmWaaP47WcDXRVKAFlS,https://i.scdn.co/image/4379bac21dc7e89963786d9913e6bc2955e5e88d,2000,0.649,0.714,152346,0.527,0.733,0,0.061,-7.676,1,0.0285,131.313,4,0.721
6372,Major Lance,Hey Little Girl,4l4Y8jGEhbVEIgshnGpZ0P,24,https://open.spotify.com/track/4l4Y8jGEhbVEIgshnGpZ0P,https://i.scdn.co/image/d2f8d410ec929caba46652c94cbca9d3656995a7,2000-09-05,0.35,0.803,149733,0.534,0.0,7,0.0775,-10.116,0,0.0414,125.839,4,0.888
6373,Dillinger Four,Music Is None Of My Business,4mjiifWqpvgTQNIGDDOXkD,21,https://open.spotify.com/track/4mjiifWqpvgTQNIGDDOXkD,https://i.scdn.co/image/bc9bf15135710b39ec87d0bb463095524a56c963,2000-06-20,0.00255,0.256,99160,0.971,0.0,4,0.638,-4.095,1,0.155,190.438,4,0.59
6374,Zezé Di Camargo & Luciano,Pra Mudar a Minha Vida,4oMlV3X4i2jaKRIGmTXriC,46,https://open.spotify.com/track/4oMlV3X4i2jaKRIGmTXriC,https://i.scdn.co/image/b810938951d7ba553f85b44670ad0ed4f2b56d5f,2000,0.379,0.654,228493,0.792,0.0,4,0.254,-3.445,1,0.03,150.104,4,0.878
