artist_name,track_name,track_id,popularity,url,images,date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Fiona Apple,Across the Universe,6ZQgooEk8PvsLxedYaT6Oa,57,https://open.spotify.com/track/6ZQgooEk8PvsLxedYaT6Oa,https://i.scdn.co/image/29ddf24c48da1ff5992fc795881268c71c3383df,1998-10-13,0.431,0.578,307333,0.481,0.00299,4,0.0951,-10.545,1,0.0317,129.881,4,0.548
Sheryl Crow,Sweet Child O' Mine,0273i5ysrlovK8rr0KJfQn,63,https://open.spotify.com/track/0273i5ysrlovK8rr0KJfQn,https://i.scdn.co/image/2a03820c2fe6c9be6e5183c225f98b4701054650,1998-09-21,0.0867,0.592,234133,0.865,3.53e-06,7,0.103,-3.183,1,0.0282,124.278,4,0.659
Elliott Smith,Waltz #2 (XO),5AMrnF761nziCWUfjBgRUI,58,https://open.spotify.com/track/5AMrnF761nziCWUfjBgRUI,https://i.scdn.co/image/abb755299ca2528ba489db998d7504e8fee8eb81,1998-01-01,0.395,0.633,280107,0.49,6.92e-05,10,0.0886,-7.668,1,0.0255,132.178,3,0.66
Monica,For You I Will,2b29qJRy4asbQNFjPO96XC,57,https://open.spotify.com/track/2b29qJRy4asbQNFjPO96XC,https://i.scdn.co/image/ca79ac90f9891211ba8e69935ed40931f58f081a,1998-07-11,0.243,0.652,294867,0.473,0.0,0,0.134,-7.981,0,0.0313,123.208,4,0.368
Fuel,Shimmer - Single Version,6WdoToI0z5f4A4kbZ3SXoa,57,https://open.spotify.com/track/6WdoToI0z5f4A4kbZ3SXoa,https://i.scdn.co/image/238f4cc1d5435ad7b6ddd3cfbff91a850e85f2b8,1998-03-31,0.00238,0.48,214067,0.792,0.0,7,0.169,-6.443,1,0.0411,114.605,4,0.465
112,Anywhere,0Zze3tFRSNwL6KllmYjLgZ,54,https://open.spotify.com/track/0Zze3tFRSNwL6KllmYjLgZ,https://i.scdn.co/image/a0887b21cca9bfdfd0e76e2fa0ee444ac2f66d20,1998,0.114,0.589,244133,0.477,0.0,10,0.188,-9.025,1,0.29,125.867,4,0.841
Burl Ives,A Holly Jolly Christmas - Single Version,6XzpeMXDvLC86GvAfnUsIA,60,https://open.spotify.com/track/6XzpeMXDvLC86GvAfnUsIA,https://i.scdn.co/image/4cca72989e4e16dc4147d81e1ab1437b4df59f9a,1998-01-01,0.591,0.675,133093,0.369,0.0,0,0.0971,-13.004,1,0.0299,140.573,4,0.869
System Of A Down,Suite-Pee,1qGmxIGEuBEkj7bft72Kh0,58,https://open.spotify.com/track/1qGmxIGEuBEkj7bft72Kh0,https://i.scdn.co/image/5d217e5f375f0c5cf47776f677610b44f7201ecd,1998,0.0022,0.263,151733,0.89,0.00348,0,0.306,-2.913,1,0.177,190.389,4,0.286
Public Enemy,He Got Game,48zajk3g8P3BMT7F9BbDoD,53,https://open.spotify.com/track/48zajk3g8P3BMT7F9BbDoD,https://i.scdn.co/image/a2a0a1df7ca0542c5807f3dd1aa05cd52422ed2e,1998-04-28,0.0736,0.825,286200,0.639,0.0224,4,0.0612,-6.607,1,0.189,97.389,4,0.866
Joan Sebastian,25 Rosas,3w08iUjYVTFdpaUKDdek0U,59,https://open.spotify.com/track/3w08iUjYVTFdpaUKDdek0U,https://i.scdn.co/image/bc581857725f5778987c5e79d6ea57f2303ba79e,1998-10-23,0.0995,0.801,180512,0.566,3.52e-06,9,0.0385,-7.968,1,0.0321,92.119,4,0.874
Dave Matthews Band,Crush,6AKSrodq9kU9hmTLEeWFFr,52,https://open.spotify.com/track/6AKSrodq9kU9hmTLEeWFFr,https://i.scdn.co/image/44099253cda854361367550133ad1dfff5d507cf,1998-04-28,0.262,0.564,488734,0.745,2.78e-05,0,0.108,-6.933,1,0.0411,94.044,4,0.672
JAY Z,Can I Get A... - From The Rush Hour Soundtrack,45HLgh98kxPEMP1gPAEe8X,54,https://open.spotify.com/track/45HLgh98kxPEMP1gPAEe8X,https://i.scdn.co/image/dd32f642adf8d547c80e1438664a39452102aef0,1998-01-01,0.12,0.791,311800,0.665,0.000161,8,0.0961,-9.496,0,0.352,177.097,4,0.792
2Pac,How Do U Want It,1ZB2zIoc8AjSuyqKRcJgbO,52,https://open.spotify.com/track/1ZB2zIoc8AjSuyqKRcJgbO,https://i.scdn.co/image/43c582cd325743447b21a1ee0946e01daf9ec4a8,1998-01-01,0.13,0.832,287760,0.82,2.09e-06,8,0.0568,-2.268,1,0.0896,92.454,4,0.831
Vince Guaraldi Trio,Christmas Time Is Here - Vocal - Album Version,3bMfUUpzUzqWp9II00yRhE,54,https://open.spotify.com/track/3bMfUUpzUzqWp9II00yRhE,https://i.scdn.co/image/fb3f355b2e8ed3f03d29a20d6307329fc393e755,1998-01-01,0.984,0.344,163093,0.129,4.46e-05,9,0.161,-21.221,0,0.036,77.137,3,0.0996
